Date,Token,Nodes
2019-06-11,1030,"[90691, 230467, 392265, 237709, 395853, 230876, 230877, 189026, 396072, 396073, 216040, 230955, 395692, 392682, 237419, 235116, 393264, 393136, 392888, 390906, 162687]"
2019-06-12,966,"[183042, 90691, 193095, 170699, 96972, 194317, 162073, 170267, 208029, 181342, 161246, 100193, 392997, 227046, 317096, 178088, 394605, 170478, 182894, 396214, 189752]"
2019-06-18,1311,"[217672, 72457, 157000, 186060, 206797, 394772, 102292, 226070, 219733, 398490, 394396, 193824, 222566, 398059, 237996, 193899, 223469, 61745, 215284, 193976, 396798]"
2019-06-20,1786,"[396227, 399299, 399300, 399301, 396872, 206541, 399183, 179472, 396570, 399131, 399132, 399133, 396832, 398947, 399082, 398763, 397166, 397169, 395190, 395510, 93822]"
2019-06-23,1139,"[109774, 185871, 70799, 399055, 186833, 185556, 185558, 186135, 165974, 185560, 185562, 399904, 7842, 190114, 216418, 397411, 3243, 185587, 324084, 2939, 208893]"
2019-06-28,641,"[191040, 107009, 171073, 392644, 109320, 281867, 397708, 154955, 105743, 106454, 105686, 111453, 105886, 169699, 71399, 154922, 21227, 396779, 89835, 158964, 107261]"
2019-06-30,381,"[402177, 182786, 82627, 82630, 101639, 82631, 84617, 164941, 397845, 86486, 391193, 402137, 93145, 83486, 402212, 194340, 402148, 402215, 402285, 82494, 402175]"
2019-07-01,1049,"[175809, 217348, 217349, 217350, 189127, 189128, 189129, 189133, 189134, 209425, 165079, 189144, 189145, 189146, 217327, 217328, 217341, 391285, 31734, 217337, 175805]"
2019-07-02,381,"[83778, 82627, 82630, 101639, 84678, 84617, 82631, 84554, 164941, 93649, 85973, 391193, 93145, 83229, 83486, 107549, 101481, 170740, 399797, 82494, 83583]"
2019-07-10,668,"[109185, 406210, 175555, 156743, 192200, 175561, 405963, 405390, 400401, 107989, 185558, 405976, 176160, 108650, 404779, 175978, 162477, 161397, 41208, 400509, 406142]"
2019-07-18,966,"[183042, 407555, 408196, 407562, 400139, 209425, 391959, 230296, 408217, 162073, 402203, 170267, 408412, 181342, 407521, 394548, 407797, 396214, 407544, 407549, 407550]"
