
File: /home/prio/loc_project/Data/19000000to19249999_ERC721Transaction.csv
Matching Rows:
422      1377988  1461252234  0xda378acd2aa5aa39066df4522500305e2dd1ab77b4a6c616873bd561a1e4c50e  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         1317
424      1377988  1461252234  0xda378acd2aa5aa39066df4522500305e2dd1ab77b4a6c616873bd561a1e4c50e  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x01d80e458ae6cd5d2bce90b06ff2d3fa993b65f5               0             0     10000000
425      1377988  1461252234  0xda378acd2aa5aa39066df4522500305e2dd1ab77b4a6c616873bd561a1e4c50e  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        13000
447      1396967  1461524641  0x92dd6af00e7976ee8248579839a4e822c3d19810398e76021aaa3757f5a57b8d  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         3643
449      1396967  1461524641  0x92dd6af00e7976ee8248579839a4e822c3d19810398e76021aaa3757f5a57b8d  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x01d80e458ae6cd5d2bce90b06ff2d3fa993b65f5               0             0     40000000
450      1396967  1461524641  0x92dd6af00e7976ee8248579839a4e822c3d19810398e76021aaa3757f5a57b8d  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        52000
460      1403030  1461610694  0xce6386006ca7b3b8eab0a7d46ec4ecbd9e81bf4eacfaa6c3837695cc85c37fcd  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1          802
462      1403030  1461610694  0xce6386006ca7b3b8eab0a7d46ec4ecbd9e81bf4eacfaa6c3837695cc85c37fcd  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x01d80e458ae6cd5d2bce90b06ff2d3fa993b65f5               0             0     10000000
463      1403030  1461610694  0xce6386006ca7b3b8eab0a7d46ec4ecbd9e81bf4eacfaa6c3837695cc85c37fcd  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1        13000
557      1456694  1462381565  0x62190ff6a6136a5c567a8fba8c097d083d1f7cf13cefdaeb2ea4690cf9958902  0x55b9a11c2e8351b4ffc7b11561148bfac9977855  0x9ac937835f6a06657441ac77788b72e3bddf2ae1  0x5d2c24efac49825f682b5d334428f1a5c96acc09               0             1         6298
